mTurkCode,suspectedBot,catch_2
6203323,0,"harm done upon another person physically, mentally, or financially"
5179224,0,Anything that is against any law provided
6938065,0,behavior that is against the law
4841637,0,"A crime is when an established law or rule is broken, sometimes there is a victim involved who the crime is committed against."
7190614,0,something that one person does that purposely negatively impacts another person
9572171,0,Breaking the laws established by society. 
863727,0,A crime is when someone does something that knowingly causes harm to other people.
8522824,0,committing acts that defy governmental and moral laws.
9206555,0,An act of force or coercion enacted on the unwilling. 
4385251,0,Something that breaks the law
6015481,1,crime
8269693,0,A crime is breaking the law. 
339300,0,It's an unauthorized action performed by someone to take advantage of another.
3848217,0,crime is a action taken that is in violation of any number of laws;
898383,0,when someone breaks the law 
3804483,0,crime is a illegal statement and not good for nation and country.
1851884,0,crime is not allowed for this country 
6935837,0,crime was a very unhealthy activity
8663210,1,Crimes other than murder do not receive a punishment that mimics the crime - for .... It's based on the political principle that a state should fulfil its obligations in the ... use capital punishment have been able to find other punishments that enable the ... If such states exist then capital punishment is unnecessary and should be ...
3559952,0,UNJUST
3903093,1,"a crime is an unlawful act punishable by a state or other authority. The term ""crime"" does not, in modern criminal law, have any simple and universally accepted definition, though statutory definitions have been provided for certain purposes."
4121697,0,Something done against the law.
5530643,1,"crimeThe word crime is derived from the Latin root cern_, meaning ""I decide, I give judgment"". Originally the Latin word cr_men meant ""charge"" or ""cry of distress.""[8] The Ancient Greek word krima (_____), from which the Latin cognate derives, typically referred to an intellectual mistake or an offense against the community, rather than a private or moral wrong.[9] /  / In 13th century English crime meant ""sinfulness"", according to etymonline.com. It was probably brought to England as Old French crimne (12th century form of Modern French crime), from Latin crimen (in the genitive case: criminis). In Latin, crimen could have signified any one of the following: ""charge, indictment, accusation; crime, fault, offense"". /  / The word may derive from the Latin cernere Ð ""to decide, to sift"" (see crisis, mapped on Kairos and Chronos). But Ernest Klein (citing Karl Brugmann) rejects this and suggests *cri-men, which originally would have meant ""cry of distress"". Thomas G. Tucker suggests a root in ""cry"" words and refers to English plaint, plaintiff, and so on. The meaning ""offense punishable by law"" dates from the late 14th century. The Latin word is glossed in Old English by facen, also ""deceit, fraud, treachery"", [cf. fake]. Crime wave is first attested in 1893 in American English"
992395,1,crime
8489547,0,"A crime would be doing something illegal, against the law."
5276986,0,Crime is when someone does something that breaks the law to gain something for themselves.
2105054,0,Breaking an established law.
9638726,0,"an act of wrongdoing, that constitutes an offense, and violates the standards upheld by the law"
8477777,1,this crime is been taken as a worst performance at there
